species,color.richness,behavioral.richness,acoustic.richness,color.diversity,behavioral.diversity,acoustic.diversity,displayproximity,displayheight,,Additional information,
Lycocorax_pyrrhopterus,40.10,8.57,2.62,4.09,5.45,1.83,Solitary,understory,,1,"data correspond to untransformed values, all analyses conducted on log transformed values"
Phonygammus_keraudrenii,69.27,4.00,2.00,7.23,1.45,1.07,Solitary,understory,,2,gray cells correspond to values obtained from phylogentic imputation
Manucodia_jobiensis,74.30,8.49,3.71,7.82,5.24,2.13,Solitary,understory,,,
Manucodia_ater,78.10,8.45,3.42,6.76,5.26,2.06,Solitary,understory,,,
Manucodia_comrii,73.73,8.39,3.00,6.89,5.28,2.21,Solitary,understory,,,
Manucodia_chalybatus,86.20,8.56,4.18,9.40,5.24,2.28,Solitary,understory,,,
Pteridophora_alberti,89.87,9.00,7.00,16.95,6.45,5.28,Solitary,understory,,,
Parotia_carolae,82.20,9.60,7.00,11.06,4.97,2.14,Exploded Lek,ground,,,
Parotia_sefilata,66.30,21.50,4.50,6.40,12.74,2.03,Exploded Lek,ground,,,
Parotia_wahnesi,69.50,13.20,2.67,7.22,8.21,1.41,Exploded Lek,ground,,,
Parotia_lawesii,41.53,10.00,2.50,4.91,5.70,1.49,Exploded Lek,ground,,,
Parotia_helenae,51.44,10.00,2.00,7.15,6.56,1.36,Exploded Lek,ground,,,
Seleucidis_melanoleucus,112.53,16.00,10.00,11.82,11.53,2.29,Solitary,canopy,,,
Drepanornis_albertisi,45.42,11.00,7.00,6.93,6.92,4.83,Solitary,understory,,,
Drepanornis_bruijnii,61.45,9.15,5.64,7.53,6.20,2.89,Solitary,canopy,,,
Semioptera_wallacii,49.50,8.75,5.50,10.25,5.59,2.93,Lek,canopy,,,
Ptiloris_paradiseus,52.50,7.50,2.00,6.97,5.24,1.17,Solitary,understory,,,
Ptiloris_victoriae,67.13,6.40,3.00,9.18,3.77,1.62,Solitary,understory,,,
Ptiloris_magnificus,64.20,12.33,3.00,6.88,8.82,2.25,Solitary,understory,,,
Ptiloris_intercedens,61.15,11.20,3.04,6.08,7.70,2.12,Solitary,understory,,,
Lophorina_superba,60.57,17.00,3.00,8.86,9.45,2.22,Solitary,ground,,,
Epimachus_fastuosus,32.53,6.60,2.50,4.69,3.48,1.36,Exploded Lek,understory,,,
Epimachus_meyeri,47.23,7.00,3.50,6.89,4.21,1.68,Solitary,canopy,,,
Paradigalla_carunculata,61.67,9.15,3.63,6.31,5.64,1.84,Solitary,understory,,,
Paradigalla_brevicauda,41.77,9.05,2.98,4.57,5.63,1.68,Solitary,understory,,,
Astrapia_nigra,83.77,7.00,4.00,6.94,3.22,1.25,Exploded Lek,canopy,,,
Astrapia_splendidissima,78.73,9.00,4.00,11.20,3.71,1.18,Lek,canopy,,,
Astrapia_rothschildi,75.67,8.00,2.50,5.75,4.66,1.39,Exploded Lek,canopy,,,
Astrapia_mayeri,43.20,5.67,3.00,5.57,3.13,1.35,Lek,canopy,,,
Astrapia_stephaniae,32.77,6.02,2.48,4.49,3.33,1.23,Lek,canopy,,,
Cicinnurus_regius,51.55,8.75,6.00,10.86,6.30,2.70,Exploded Lek,canopy,,,
Diphyllodes_respublica,52.50,12.67,3.00,9.27,8.75,1.41,Exploded Lek,ground,,,
Diphyllodes_magnificus,61.97,10.67,3.33,11.39,8.20,2.12,Exploded Lek,ground,,,
Paradisaea_rudolphi,475.15,9.00,12.00,24.97,5.04,3.03,Solitary,understory,,,
Paradisaea_guilielmi,287.53,10.00,4.00,15.58,6.55,2.01,Lek,canopy,,,
Paradisaea_rubra,313.67,13.00,8.00,20.42,6.87,3.36,Lek,canopy,,,
Paradisaea_decora,258.36,12.50,8.00,9.89,7.48,3.77,Lek,canopy,,,
Paradisaea_minor,235.50,7.83,2.50,8.48,4.74,1.38,Lek,canopy,,,
Paradisaea_apoda,722.88,12.00,7.00,10.85,7.65,3.24,Lek,canopy,,,
Paradisaea_raggiana,354.70,13.50,3.00,8.69,8.53,2.42,Lek,canopy,,,
